IATACode, 2019Passengers 
GUW," 778,989 "
NPE," 775,892 "
CHO," 775,566 "
YNB," 773,910 "
UBJ," 772,667 "
SJP," 770,102 "
PVH," 767,269 "
CIT," 763,867 "
ENY," 763,833 "
FUG," 762,275 "
BOH," 756,657 "
REN," 754,303 "
LBJ," 753,680 "
POP," 753,222 "
YGJ," 745,468 "
XIL," 742,859 "
TRS," 742,839 "
PBC," 741,647 "
BQN," 741,624 "
ARH," 738,375 "
MLI," 732,577 "
RZE," 732,320 "
TAM," 729,888 "
FSC," 729,846 "
ROA," 727,559 "
EVE," 726,505 "
NBC," 725,189 "
AAP," 724,791 "
MMB," 724,662 "
PUY," 724,470 "
YZF," 724,259 "
SBZ," 723,872 "
AMA," 723,156 "
SNU," 722,531 "
MLX," 721,488 "
BND," 721,239 "
CIX," 720,168 "
PSR," 719,562 "
VOZ," 718,609 "
PKC," 718,299 "
PHS," 717,261 "
RAP," 716,949 "
LZY," 716,138 "
FCA," 715,038 "
FTE," 713,474 "
UVF," 710,609 "
LXR," 708,753 "
EFL," 708,540 "
MGF," 707,951 "
GNY," 707,223 "
SAG," 706,487 "
LGP," 702,627 "
HOG," 701,551 "
GRB," 699,508 "
ROS," 698,114 "
NBS," 696,887 "
PIA," 692,863 "
DAB," 692,826 "
TGU," 692,556 "
LBU," 692,387 "
TRC," 691,384 "
BBA," 689,107 "
PAE," 688,065 "
RAI," 687,839 "
PKN," 685,319 "
MOB," 683,060 "
PMR," 680,882 "
YXU," 680,696 "
GOP," 680,426 "
LBD," 680,170 "
PCL," 675,801 "
PXU," 675,747 "
YQM," 675,463 "
DIG," 674,470 "
HRL," 668,758 "
